[[ 0.00010359  0.00020382 -0.00020382]]
[[ 0.00019508  0.00036625 -0.00019508]]
[[  2.79266141e-04   4.94655565e-04   3.45430687e-21]]
[[ 0.00019508  0.00036625  0.00019508]]
[[ 0.00010359  0.00020382  0.00020382]]
[[  7.88553117e-05   2.29812325e-04  -7.88553117e-05]]
[[  9.29986800e-05   2.67956679e-04   8.42400886e-21]]
[[  7.88553117e-05   2.29812325e-04   7.88553117e-05]]
[[  4.07605068e-05   1.60635526e-04   4.16439106e-21]]
[[  1.20182993e-04  -1.78234101e-04   5.02947728e-21]]
[[ 0.00020382 -0.00020382 -0.00010359]]
[[  2.44349102e-04  -2.44349102e-04   1.17825177e-20]]
[[ 0.00020382 -0.00020382  0.00010359]]
[[ 0.00020382 -0.00010359 -0.00020382]]
[[ 0.00036625 -0.00019508 -0.00019508]]
[[  4.94655565e-04  -2.79266141e-04   3.37303635e-21]]
[[ 0.00036625 -0.00019508  0.00019508]]
[[ 0.00020382 -0.00010359  0.00020382]]
[[  1.20182993e-04   4.99731360e-21  -1.78234101e-04]]
[[  2.44349102e-04   5.01293832e-21  -2.44349102e-04]]
[[  4.94655565e-04   3.38392509e-21  -2.79266141e-04]]
[[  8.30073056e-04   2.72638780e-20   2.72544139e-20]]
[[  4.94655565e-04   2.03742536e-20   2.79266141e-04]]
[[  2.44349102e-04   1.08089364e-19   2.44349102e-04]]
[[  1.20182993e-04   4.83194061e-20   1.78234101e-04]]
[[ 0.00020382  0.00010359 -0.00020382]]
[[ 0.00036625  0.00019508 -0.00019508]]
[[  4.94655565e-04   2.79266141e-04   2.03070842e-20]]
[[ 0.00036625  0.00019508  0.00019508]]
[[ 0.00020382  0.00010359  0.00020382]]
[[ 0.00020382  0.00020382 -0.00010359]]
[[  2.44349102e-04   2.44349102e-04   5.01696764e-21]]
[[ 0.00020382  0.00020382  0.00010359]]
[[  1.20182993e-04   1.78234101e-04   4.98630987e-21]]
[[  1.78234101e-04  -1.20182993e-04  -8.12704992e-23]]
[[  2.29812325e-04  -7.88553117e-05  -7.88553117e-05]]
[[  2.67956679e-04  -9.29986800e-05   8.37768662e-21]]
[[  2.29812325e-04  -7.88553117e-05   7.88553117e-05]]
[[  1.78234101e-04  -1.00888273e-22  -1.20182993e-04]]
[[  2.67956679e-04   8.40802761e-21  -9.29986800e-05]]
[[  3.21037697e-04   6.76043568e-21   6.80604331e-21]]
[[  2.67956679e-04   3.37645188e-21   9.29986800e-05]]
[[  1.78234101e-04   4.87297800e-20   1.20182993e-04]]
[[  2.29812325e-04   7.88553117e-05  -7.88553117e-05]]
[[  2.67956679e-04   9.29986800e-05   3.31534049e-21]]
[[  2.29812325e-04   7.88553117e-05   7.88553117e-05]]
[[  1.78234101e-04   1.20182993e-04   4.98335305e-21]]
[[  1.60635526e-04  -4.07605068e-05   4.17300603e-21]]
[[  1.60635526e-04   4.19136451e-21  -4.07605068e-05]]
[[  1.76706171e-04   4.16071916e-21   4.18241165e-21]]
[[  1.60635526e-04   7.79913743e-22   4.07605068e-05]]
[[  1.60635526e-04   4.07605068e-05   7.55907999e-22]]
[[  1.12518382e-04   2.52476214e-21   2.52038099e-21]]
