

'=============================================================

 C60/C60_cation_neut_inner6_outer0/ReorgPlanes_shareq/C60_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_a.dat 

c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
8	1	[]	[]	1.7963029506	1.54215566225	1.5176827684	1.51175273736	1.51096635839	1.51440864199	1.52776529299	1.68313868584	2.06419864243	[]	[]
9	0	[]	[]	[]	2.0791280125	1.67517201273	1.53360592674	1.52368398019	1.5259343183	1.54824264573	1.81177016154	[]	[]	[]
9	1	[]	[]	[]	1.7996353099	1.54770315719	1.52579730539	1.52374337006	1.53404912739	1.68701610904	2.06623890606	[]	[]	[]
10	0	[]	[]	[]	[]	2.08175585645	1.68014957523	1.54312267041	1.55476201159	1.81539340205	[]	[]	[]	[]
10	1	[]	[]	[]	[]	1.80340328589	1.55438801022	1.54344546988	1.69192189675	2.06876946327	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	2.08814047512	1.70347373074	1.82669033762	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	1.81474106605	1.71530180095	2.07516021444	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	2.13252288286	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	2.1195644076	[]	[]	[]	[]	[]	[]

'=============================================================

 C8_BTBT/C8_BTBT_cation_neut_inner6_outer0/ReorgPlanes_shareq/C8_BTBT_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_b.dat 

a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	2.02885020145	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	1.75683154764	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.01122238439	1.66695937916	2.01418381266	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	1.73684154997	1.53849243247	1.74008917386	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.01946539966	1.64658250045	1.52115417949	1.65007843182	2.02062606145	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.74764933553	1.51923871686	1.5091806256	1.52273237934	1.74876429733	[]	[]	[]	[]
3	0	[]	[]	[]	2.02399981286	1.6614316546	1.50162774151	1.50065209929	1.50525761408	1.66241158957	2.02443347474	[]	[]	[]
3	1	[]	[]	[]	1.75297878844	1.53774885008	1.49013338618	1.49342318802	1.49357979718	1.53854403499	1.75337101552	[]	[]	[]
4	0	[]	[]	2.02825887802	1.66770913959	1.52451122808	1.48260126146	1.46911958132	1.48586767329	1.52517083187	1.66801206698	2.02845377797	[]	[]
4	1	[]	[]	1.7583559808	1.54484356854	1.51645380962	1.47815067382	1.42169849856	1.48082882967	1.51695374006	1.5450485071	1.75851750139	[]	[]
5	0	[]	2.0384901771	1.67413637644	1.53256425197	1.51334547036	1.47375927816	0.919324082266	1.47577753014	1.51369127063	1.53270203134	1.67424353576	2.03857897928	[]
5	1	[]	1.77610076038	1.55286750928	1.52551484826	1.51162219229	1.47267229025	0.805350480764	1.4737092036	1.51179940452	1.52558538171	1.55291992522	1.77615268321	[]
6	0	2.13250979267	1.70345962586	1.54311033813	1.52367463821	1.5109066261	1.47125382846	0.0	1.47126181742	1.51091542841	1.52368398019	1.54312267041	1.70347373074	2.13252288286
6	1	2.11958172261	1.71532354861	1.54347452559	1.52379554784	1.51112644695	1.47326544518	0.804881036775	1.47224388447	1.51096635839	1.52374337006	1.54344546988	1.71530180095	2.1195644076
7	0	[]	1.78797894222	1.55327230542	1.52568574005	1.5119505451	1.47481416622	0.918400264862	1.47281079373	1.51162419996	1.52557275689	1.55320330732	1.78791941081	[]
7	1	[]	2.02576666551	1.68630400902	1.53320159976	1.51412500408	1.47934023421	1.42030159477	1.47667513431	1.51364596382	1.53302437187	1.68618079263	2.02567126825	[]
8	0	[]	[]	1.77061951963	1.54554252945	1.51732100686	1.48333252306	1.46711459615	1.48008010051	1.51669351531	1.54529933	1.77044229804	[]	[]
8	1	[]	[]	2.0156714178	1.68015888022	1.5260513721	1.48998058308	1.4908529249	1.48654737005	1.5252934937	1.67982322636	2.01546361633	[]	[]
9	0	[]	[]	[]	1.76554455227	1.53935243411	1.49657190722	1.49686607544	1.49296947233	1.53846640565	1.76512115954	[]	[]	[]
9	1	[]	[]	[]	2.01175417846	1.67499595104	1.50937326858	1.50428688869	1.50591074619	1.67396600154	2.01129880483	[]	[]	[]
10	0	[]	[]	[]	[]	1.76125958906	1.5258116278	1.51083324954	1.52243214977	1.76009960822	[]	[]	[]	[]
10	1	[]	[]	[]	[]	2.00835949716	1.66520595979	1.52345579214	1.66204897076	2.00719410423	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	1.7542006851	1.53979024173	1.75120133948	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	2.00357906515	1.67989255196	2.00097183194	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	1.7686748134	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	2.01627331371	[]	[]	[]	[]	[]	[]

'=============================================================

 C8_BTBT/C8_BTBT_cation_neut_inner6_outer0/ReorgPlanes_shareq/C8_BTBT_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_c.dat 

